Address,City,ZipCode,Bedrooms,Bathrooms,SquareFeet,Price,RentEstimate,MonthlyCost,ProposedPrice,NOI,CapRate,
316 Barcelona Dr ,TRUE,79905,4,2,1636,145000,1600,1397.446045,130500,202.5539551,1.862565104,
2604 Steffi Graf Dr ,TRUE,79938,3,2,1395,150000,1650,1445.013062,135000,204.9869385,1.82210612,
8700 Winchester Rd ,TRUE,79907,3,2,3416,200000,2200,1926.684082,180000,273.315918,1.82210612,
2908 Royal Knoll Dr ,TRUE,79936,3,2,1414,126999,1395,1223.196167,114299.1,171.803833,1.803728985,
10749 Silvercloud Dr ,TRUE,79924,3,2,2170,246000,2700,2369.101563,221400,330.8984375,1.793487466,
11521 Valle Frondoso Rd ,TRUE,79927,3,3,1760,210000,2299,2021.698364,189000,277.3016357,1.760645306,
2157 Septiembre Dr ,TRUE,79935,5,3,2209,229000,2500,2203.773438,206100,296.2265625,1.724754367,
6416 Pino Real Dr ,TRUE,79912,5,3,3572,325000,3520,3124.261719,292500,395.7382813,1.623541667,
4317 Larchmont Dr ,TRUE,79902,4,4,2074,365000,3950,3508.398438,328500,441.6015625,1.613156393,
8909 Otyokwa Way ,TRUE,79907,3,1,1148,125000,1350,1201.177612,112500,148.8223877,1.587438802,
3116 Titanic Ave ,TRUE,79904,7,4,5158,306000,3300,2939.906738,275400,360.0932617,1.56903382,
14314 Owl Point Ave ,TRUE,79938,3,2,1796,259950,2800,2497.07373,233955,302.9262695,1.55376685,
3224 Old Spanish Trl ,TRUE,79904,4,3,3277,328000,3520,3149.201904,295200,370.7980957,1.507309332,
12004 Prairie Ridge St ,TRUE,79934,4,2,1976,210000,2250,2015.818359,189000,234.1816406,1.48686756,
225 Liberty St ,TRUE,79907,5,2,2254,199500,2135,1914.727417,179550,220.272583,1.472164297,
366 Buena Vista St ,TRUE,79905,3,2,2759,225000,2400,2158.519531,202500,241.4804688,1.43099537,
Roma Ave ,TRUE,79938,3,1.5,4300,300000,3200,2878.026123,270000,321.973877,1.430995009,
11676 Bell Tower Dr ,TRUE,79936,3,2,1133,197000,2100,1889.743896,177300,210.2561035,1.423053154,
3427 Dornoch St ,TRUE,79925,3,2,1368,150000,1595,1438.413086,135000,156.5869141,1.391883681,
5733 Burning Tree Dr ,TRUE,79912,4,3,2473,319900,3400,3067.463379,287910,332.5366211,1.38600238,
2300 Enchanted Eagle Ln ,TRUE,79911,4,3,2368,406560,4319,3898.184326,365904,420.8156738,1.38008551,
5109 Temple Ct ,TRUE,79924,4,2,2168,255000,2700,2443.922363,229500,256.0776367,1.338968035,
7789 Enchanted Falcon Ln ,TRUE,79911,4,3,2368,409060,4319,3918.967773,368154,400.0322266,1.303907256,
