Address,City,ZipCode,Bedrooms,Bathrooms,SquareFeet,ListedPrice,RentEstimate,MonthlyCost,
15581 Lexa Dean Dr ,1,79938,3,2,1618,199000,1755,1864.970708,
2321 Dancing Piper Way ,1,79911,2,3,2034,410000,2500,3708.502464,
13875 Wild Flower Dr ,1,79938,3,2,1962,388000,1995,3465.00721,
425 Rocca Ln ,1,79915,4,2.5,2348,220000,2070,2077.352542,
805 E Baltimore Dr ,1,79902,4,3,2339,373140,1875,3327.069779,
937 Galaxia Dr ,0,79928,4,2,1376,201000,1450,1844.99755,
12741 Rodolfo Anchondo Ct ,1,79938,4,2,1420,234900,1395,2120.222509,
3633 Dominican St ,1,79936,3,2,1125,185000,1400,1705.982819,
7161 N Skies Ln ,1,79934,3,2,1312,229950,1595,2103.071077,
808 Green Cove Dr ,1,79932,3,3,2649,325000,2150,2959.86171,
5304 Tropicana Ave ,1,79924,3,1,1000,159000,1450,1495.833883,
14132 Desert Willow Dr ,1,79938,6,6,4189,895000,3000,7800.511477,
9409 Falkirk Ave ,1,79925,4,2,1644,190000,1590,1770.349923,
12821 Col Charles Branson Dr ,1,79938,3,2,1114,197950,1350,1807.641617,
3328 Freeport Dr ,1,79935,3,2,1757,250000,1695,2281.755161,
4433 N Stanton St Unit E103 ,1,79902,2,2,1061,165000,1100,1503.714406,
13640 Samlesbury Ave ,1,79928,4,2,1531,239950,1795,2210.205284,
7378 Black Mesa Dr ,1,79911,4,3,2155,389000,2695,3557.320631,
12937 Tierra Salas ,1,79938,4,2.5,2262,224950,2500,2170.103974,
12371 Freshwater Dr ,1,79928,4,3,3022,650000,1900,5631.723419,
1029 Stanley St ,1,79907,3,2,1426,145000,1750,1415.445994,
1464 Greg Powers Dr ,1,79936,4,2,1475,224000,1600,2054.206224,
10733 Tony Dorsett Ave ,1,79924,4,3,2182,305250,2150,2795.671652,
12398 Paseo Nuevo Dr ,1,79928,5,3,3200,439950,1900,3885.489413,
12824 Tierra Ayala Dr ,1,79938,3,2.5,2222,299999,1835,2714.21788,
11041 Acoma St ,1,79934,4,3,2127,362500,1900,3241.614984,
12764 Indian Canyon Dr ,1,79928,4,2,2120,316550,1875,2856.613305,
2249 Sandstone Pl ,1,79911,4,2.5,2692,486900,2235,4316.004512,
4032 Snoqualmie Dr ,1,79938,3,2,896,95000,1195,933.1749613,
6417 Dawn Dr ,1,79912,4,3,2706,349900,2450,3202.865884,
5865 Oscar Perez Ave ,1,79932,4,3,2949,465000,2800,4201.7406,
1209 S Belvidere St W ,1,79912,5,3,2619,384900,3730,3647.435606,
10916 Loma De Rio Pl ,1,79934,3,2.5,1614,229999,1695,2115.478435,
3308 Dublin Rd ,1,79925,4,2,2222,319900,2135,2915.663264,
605 Cresta Alta Dr ,1,79912,3,3,2776,400000,2500,3625.368258,
2908 Royal Knoll Dr ,1,79936,3,2,1414,126999,1395,1223.196108,
4717 El Campo Dr ,1,79924,3,2,1511,198900,1650,1851.539366,
6204 LA Posta Dr ,1,79912,3,2,1915,395000,1650,3481.801155,
